Date,I_data,New_cases,Observed
2020-03-12,2,2,1
2020-03-13,2,0,0
2020-03-14,3,1,1
2020-03-15,3,0,0
2020-03-16,3,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,149,149,1
2020-03-30,149,0,0
2020-03-31,149,0,0
2020-04-01,192,43,1
2020-04-02,210,18,1
2020-04-03,61,0,0
2020-04-04,61,0,0
2020-04-05,61,0,0
2020-04-06,94,76,1
2020-04-07,100,24,1
2020-04-08,100,0,0
2020-04-09,100,0,0
2020-04-10,100,0,0
2020-04-11,24,0,0
2020-04-12,253,253,1
2020-04-13,253,0,0
2020-04-14,323,70,1
2020-04-15,323,0,0
2020-04-16,328,5,1
2020-04-17,75,0,0
2020-04-18,75,0,0
2020-04-19,5,0,0
2020-04-20,5,0,0
2020-04-21,0,0,0
2020-04-22,638,638,1
2020-04-23,638,0,0
2020-04-24,638,0,0
2020-04-25,909,271,1
2020-04-26,909,0,0
2020-04-27,391,120,1
2020-04-28,795,404,1
2020-04-29,795,0,0
2020-04-30,524,0,0
2020-05-01,619,95,1
2020-05-02,1049,550,1
2020-05-03,645,0,0
2020-05-04,645,0,0
2020-05-05,645,0,0
2020-05-06,921,371,1
2020-05-07,371,0,0
2020-05-08,1293,922,1
2020-05-09,1544,251,1
2020-05-10,1981,437,1
2020-05-11,2037,427,1
2020-05-12,2037,0,0
2020-05-13,1115,0,0
2020-05-14,1267,403,1
2020-05-15,938,108,1
2020-05-16,608,97,1
2020-05-17,608,0,0
2020-05-18,791,183,1
2020-05-19,566,178,1
2020-05-20,631,173,1
2020-05-21,751,217,1
2020-05-22,882,131,1
2020-05-23,765,66,1
2020-05-24,587,0,0
2020-05-25,695,281,1
2020-05-26,631,153,1
2020-05-27,686,186,1
2020-05-28,933,313,1
2020-05-29,1085,152,1
2020-05-30,912,108,1
2020-05-31,953,194,1
2020-06-01,994,227,1
2020-06-02,932,251,1
2020-06-03,1117,337,1
2020-06-04,1292,283,1
2020-06-05,1392,294,1
2020-06-06,1341,176,1
2020-06-07,1362,272,1
2020-06-08,1025,0,0
2020-06-09,1033,291,1
2020-06-10,896,157,1
2020-06-11,1218,498,1
2020-06-12,1208,262,1
2020-06-13,1512,304,1
2020-06-14,1763,542,1
2020-06-15,1606,0,0
2020-06-16,1337,229,1
2020-06-17,1472,397,1
2020-06-18,1507,339,1
2020-06-19,1239,274,1
2020-06-20,1753,514,1
2020-06-21,1961,437,1
2020-06-22,1978,414,1
2020-06-23,2084,445,1
2020-06-24,2270,460,1
2020-06-25,2115,359,1
2020-06-26,2277,599,1
2020-06-27,2174,311,1
